ts_utc,binance_mark_close,reya_close,abs_diff,diff_pct,updated_at_utc
2026-02-24 15:14:00Z,,63535.07542952343,,,2026-02-25T15:14:33Z
2026-02-24 15:15:00Z,,63564.22377266623,,,2026-02-25T15:14:33Z
2026-02-24 15:16:00Z,,63711.24504749439,,,2026-02-25T15:14:33Z
2026-02-24 15:17:00Z,,63681.17410359745,,,2026-02-25T15:14:33Z
2026-02-24 15:18:00Z,,63640.68814668608,,,2026-02-25T15:14:33Z
2026-02-24 15:19:00Z,,63747.77344127701,,,2026-02-25T15:14:33Z
2026-02-24 15:20:00Z,,63730.13835456119,,,2026-02-25T15:14:33Z
2026-02-24 15:21:00Z,,63637.6856169691,,,2026-02-25T15:14:33Z
2026-02-24 15:22:00Z,,63720.97109895388,,,2026-02-25T15:14:33Z
2026-02-24 15:23:00Z,,63836.28570643916,,,2026-02-25T15:14:33Z
2026-02-24 15:24:00Z,,63852.39087444157,,,2026-02-25T15:14:33Z
2026-02-24 15:25:00Z,,63813.9777008411,,,2026-02-25T15:14:33Z
2026-02-24 15:26:00Z,,63812.7522677633,,,2026-02-25T15:14:33Z
2026-02-24 15:27:00Z,,63747.13572968922,,,2026-02-25T15:14:33Z
2026-02-24 15:28:00Z,,63761.30163211992,,,2026-02-25T15:14:33Z
2026-02-24 15:29:00Z,,63896.76842288742,,,2026-02-25T15:14:33Z
2026-02-24 15:30:00Z,,63866.67641706673,,,2026-02-25T15:14:33Z
2026-02-24 15:31:00Z,,63871.67347108461,,,2026-02-25T15:14:33Z
2026-02-24 15:32:00Z,,63926.52643117072,,,2026-02-25T15:14:33Z
2026-02-24 15:33:00Z,,63869.54295827629,,,2026-02-25T15:14:33Z
2026-02-24 15:34:00Z,,63866.86844520211,,,2026-02-25T15:14:33Z
2026-02-24 15:35:00Z,,63762.00167938169,,,2026-02-25T15:14:33Z
2026-02-24 15:36:00Z,,63805.27007807529,,,2026-02-25T15:14:33Z
2026-02-24 15:37:00Z,,63774.77348217071,,,2026-02-25T15:14:33Z
2026-02-24 15:38:00Z,,63727.53502738027,,,2026-02-25T15:14:33Z
2026-02-24 15:39:00Z,,63735.33186299597,,,2026-02-25T15:14:33Z
2026-02-24 15:40:00Z,,63782.89755863584,,,2026-02-25T15:14:33Z
2026-02-24 15:41:00Z,,63635.46790310722,,,2026-02-25T15:14:33Z
2026-02-24 15:42:00Z,,63693.68725415094,,,2026-02-25T15:14:33Z
2026-02-24 15:43:00Z,,63748.60810793216,,,2026-02-25T15:14:33Z
2026-02-24 15:44:00Z,,63715.81979717386,,,2026-02-25T15:14:33Z
2026-02-24 15:45:00Z,,63723.15354206606,,,2026-02-25T15:14:33Z
2026-02-24 15:46:00Z,,63751.51598420918,,,2026-02-25T15:14:33Z
2026-02-24 15:47:00Z,,63748.81945318174,,,2026-02-25T15:14:33Z
2026-02-24 15:48:00Z,,63791.33699482506,,,2026-02-25T15:14:33Z
2026-02-24 15:49:00Z,,63833.3399792075,,,2026-02-25T15:14:33Z
2026-02-24 15:50:00Z,,63730.17457311282,,,2026-02-25T15:14:33Z
2026-02-24 15:51:00Z,,63778.28411502953,,,2026-02-25T15:14:33Z
2026-02-24 15:52:00Z,,63780.49214538327,,,2026-02-25T15:14:33Z
2026-02-24 15:53:00Z,,63832.48810440717,,,2026-02-25T15:14:33Z
2026-02-24 15:54:00Z,,63816.01540839388,,,2026-02-25T15:14:33Z
